#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,DaLentiniAntonelli2008,,,# l'identificatore è una stringa corta ed univoca che verrà utilizzata identificare e per ordinare in ordine alfabetico il record,,,,,,,,,,,,,,
#dc:description,questa è una trascrizione fatta nel corso del progetto test@it,,,,,,,,,,,,,,,,,
#dc:author,Giacomo Da Lentini,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,Antonelli 2008,,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/UFE0862859,,,# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,https://docs.google.com/spreadsheets/d/1pximtYYQ37Vc4g6m4h9Fpn8NX0TWwFhvIct4CoP6FWk/edit?usp=sharing,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Università di Ginevra,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sub,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
2,,31,canzonetta,abc abc ddc,,7,"e quanto più lo 'nvoglia,",0,1,0,1,0,1,0,0,0,0,
2,,32,canzonetta,abc abc ddc,,7,tanto arde più loco,1,0,1,0,0,1,0,0,0,0,
2,,33,canzonetta,abc abc ddc,,7,e non pò star incluso:,0,0,0,1,0,1,0,0,0,0,
2,,34,canzonetta,abc abc ddc,,7,similemente eo ardo,0,0,0,1,0,1,0,0,0,0,
2,,35,canzonetta,abc abc ddc,,7,quando pass'e non guardo,1,0,1,0,0,1,0,0,0,0,
2,,36,canzonetta,abc abc ddc,,7,"a voi, vis' amoroso.",0,1,1,0,0,1,0,0,0,0,
2,,37,canzonetta,abc abc ddc,,7,"S'eo guardo quando passo,",0,1,0,1,0,1,0,0,0,0,
2,,38,canzonetta,abc abc ddc,,7,"inver' voi no mi giro,",0,0,1,0,0,1,0,0,0,0,
2,,39,canzonetta,abc abc ddc,,7,"bella, per risguardare;",1,0,0,0,0,1,0,0,0,0,
2,,40,canzonetta,abc abc ddc,,7,andando ad ogni passo,0,1,0,1,0,1,0,0,0,0,
2,,41,canzonetta,abc abc ddc,,7,sì getto uno sospiro,0,1,0,0,0,1,0,0,0,0,
2,,42,canzonetta,abc abc ddc,,7,che facemi ancosciare;,0,1,0,0,0,1,0,0,0,0,
2,,43,canzonetta,abc abc ddc,,7,"e certo bene ancoscio,",0,1,0,1,0,1,0,0,0,0,
2,,44,canzonetta,abc abc ddc,,7,"ch'a pena mi conoscio,",0,1,0,0,0,1,0,0,0,0,
2,,45,canzonetta,abc abc ddc,,7,tanto bella mi pare.,1,0,1,0,0,1,0,0,0,0,
2,,46,canzonetta,abc abc ddc,,7,"Assai v'aggio laudato,",0,1,1,0,0,1,0,0,0,0,
2,,47,canzonetta,abc abc ddc,,7,"madonna, in tutte parti",0,1,0,0,0,1,0,0,0,0,
2,,48,canzonetta,abc abc ddc,,7,di bellezze ch'avete.,0,0,1,0,0,1,0,0,0,0,
2,,49,canzonetta,abc abc ddc,,7,Non so se v'è contato,0,1,0,1,0,1,0,0,0,0,
2,,50,canzonetta,abc abc ddc,,7,"ch'eo lo faccia per arti,",1,0,1,0,0,1,0,0,0,0,
2,,51,canzonetta,abc abc ddc,,7,che voi ve ne dolete:,0,1,0,0,0,1,0,0,0,0,
2,,52,canzonetta,abc abc ddc,,7,sacciatelo per singa,0,1,0,0,0,1,0,0,0,0,
2,,53,canzonetta,abc abc ddc,,7,"zo ch'e’ voi dire’ a linga,",1,1,0,0,1,1,0,0,0,0,
2,,54,canzonetta,abc abc ddc,,7,quando voi mi vedite.,1,0,1,0,0,1,0,0,0,0,
2,,55,canzonetta,abc abc ddc,,7,"Canzonetta novella,",0,0,1,0,0,1,0,0,0,0,
2,,56,canzonetta,abc abc ddc,,7,và canta nuova cosa;,1,1,0,1,0,1,0,0,0,0,
2,,57,canzonetta,abc abc ddc,,7,lèvati da maitino,1,0,0,0,0,1,0,0,0,0,
2,,58,canzonetta,abc abc ddc,,7,"davanti a la più bella,",0,1,0,0,0,1,0,0,0,0,
2,,59,canzonetta,abc abc ddc,,7,"fiore d'ogn'amorosa,",1,0,1,0,0,1,0,0,0,0,
